filename,recommend_1_brand,recommend_1_product,recommend_1_hex,recommend_1_deltaE,recommend_2_brand,recommend_2_product,recommend_2_hex,recommend_2_deltaE,recommend_3_brand,recommend_3_product,recommend_3_hex,recommend_3_deltaE
white (58).jpg,L'Oréal,True Match,f0cbb9,1.79,Make Up For Ever,Ultra HD,f2ccb7,1.79,Maybelline,Fit Me Matte,f7d1bc,1.79
white (59).jpg,Make Up For Ever,Ultra HD,e3b296,1.6,Maybelline,Fit Me,e2b597,1.6,Maybelline,Fit Me Matte,e6b898,1.6
white (6).jpg,Maybelline,Fit Me Matte,e6b898,1.06,Make Up For Ever,Ultra HD,e3b391,1.06,Maybelline,Fit Me,e2b597,1.06
white (60).jpg,MAC,Studio Fix,e5d1be,5.12,L'Oréal,True Match,e8c7b8,5.12,L'Oréal,True Match,eecfba,5.12
white (61).jpg,L'Oréal,True Match,f0cbb9,1.49,L'Oréal,True Match,e9c4b1,1.49,L'Oréal,True Match,f0c7b3,1.49
white (62).jpg,L'Oréal,True Match,f0c7b3,1.36,L'Oréal,True Match,f0cbb9,1.36,Make Up For Ever,Ultra HD,f2ccb7,1.36
white (63).jpg,Maybelline,Fit Me,eabda6,2.74,Make Up For Ever,Ultra HD,f7c3b3,2.74,L'Oréal,True Match,f0c7b3,2.74
white (64).jpg,L'Oréal,True Match,e8c7b8,6.25,MAC,Studio Fix,e5d1be,6.25,L'Oréal,True Match,e9c4b1,6.25
white (65).jpg,Maybelline,Fit Me,f0b996,2.01,Make Up For Ever,Ultra HD,e7b391,2.01,Maybelline,Fit Me Matte,e6b898,2.01
white (66).jpg,L'Oréal,True Match,e8c7b8,3.99,L'Oréal,True Match,f0cbb9,3.99,L'Oréal,Infalliable,fcd6c7,3.99
white (67).jpg,L'Oréal,True Match,e9c4b1,1.87,Maybelline,Fit Me,e1bba7,1.87,Make Up For Ever,Ultra HD,eac1ac,1.87
white (68).jpg,Make Up For Ever,Ultra HD,e3b296,3.16,L'Oréal,Infalliable,e5ad8b,3.16,Make Up For Ever,Ultra HD,e7b391,3.16
white (69).jpg,MAC,Studio Fix,dcbca2,5.77,Maybelline,Fit Me,e1bba7,5.77,Make Up For Ever,Ultra HD,dcb59c,5.77
white (7).jpg,L'Oréal,True Match,e8c7b8,4.22,L'Oréal,True Match,f0cbb9,4.22,L'Oréal,True Match,e9c4b1,4.22
white (70).jpg,Maybelline,Fit Me Matte,e7b9a2,2.25,Maybelline,Fit Me,eabda6,2.25,L'Oréal,True Match,eabea1,2.25
white (71).jpg,L'Oréal,True Match,e8c7b8,5.01,L'Oréal,True Match,e9c4b1,5.01,L'Oréal,True Match,f0cbb9,5.01
white (72).jpg,Make Up For Ever,Ultra HD,f7c3b3,4.45,L'Oréal,True Match,f0c7b3,4.45,Maybelline,Fit Me,e1bba7,4.45
white (73).jpg,Make Up For Ever,Ultra HD,f9e3d5,2.87,MAC,Studio Fix,e5d1be,2.87,L'Oréal,Infalliable,fadcc8,2.87
white (74).jpg,L'Oréal,Infalliable,f7cab1,1.44,Maybelline,Fit Me Matte,f9d0b0,1.44,Maybelline,Fit Me,f3cfb3,1.44
